Number,Status,Arrival,Departure,Count (nights),"Count (bed, nightly)",Requested category,Space category,Person count,Adults,Children
381147,Checked out,2023-10-02 15:10:23.143,2023-10-03 10:52:58.295,1,2,Comfort Twin,Comfort Twin,2,2,0
381614,Checked out,2023-10-02 13:55:24.824,2023-10-04 09:41:13.321,2,2,Comfort Twin,Comfort Twin,1,1,0
375046,Checked out,2023-10-02 15:25:31.462,2023-10-03 08:47:14.406,1,2,Comfort Twin,Comfort Twin,2,2,0
361891,Checked out,2023-10-02 13:09:22.697,2023-10-05 08:01:02.806,3,3,Comfort Twin,Comfort Twin,1,1,0
382421,Checked out,2023-10-02 18:09:31.726,2023-10-03 09:18:56.145,1,1,Comfort Twin,Comfort Twin,1,1,0
378860,Checked out,2023-10-02 18:00:24.312,2023-10-05 08:36:31.552,3,3,Comfort Twin,Comfort Twin,1,1,0
378840,Checked out,2023-10-02 18:03:05.964,2023-10-04 11:00:00.000,2,4,Comfort Twin,Comfort Twin,2,2,0
361890,Checked out,2023-10-02 13:10:55.074,2023-10-04 08:55:48.018,2,2,Comfort Twin,Comfort Twin,1,1,0
362781,Checked out,2023-10-02 14:43:36.391,2023-10-06 07:54:36.392,4,12,Comfort Triple,Comfort Triple,3,3,0
379436,Checked out,2023-10-02 21:35:21.112,2023-10-03 09:37:23.737,1,3,Comfort Triple,Comfort Triple,3,3,0
372473,Checked out,2023-10-02 18:25:45.054,2023-10-03 08:08:17.725,1,1,Premium Double,Premium Double,1,1,0
374514,Checked out,2023-10-02 18:29:33.137,2023-10-03 07:15:12.828,1,1,Premium Double,Premium Double,1,1,0
378586,Checked out,2023-10-02 16:19:53.558,2023-10-04 11:00:00.000,2,2,Premium Double,Premium Double,1,1,0
350426,Checked out,2023-10-02 17:12:15.286,2023-10-05 10:45:26.449,3,6,Premium Twin,Premium Twin,2,2,0
372377,Checked out,2023-10-02 19:01:42.936,2023-10-03 08:05:40.033,1,1,Premium Twin,Premium Twin,1,1,0
359830,Checked out,2023-10-03 19:45:13.338,2023-10-08 11:00:00.000,5,10,Comfort Double,Comfort Double,2,2,0
370728,Checked out,2023-10-03 22:07:36.894,2023-10-08 07:12:38.588,5,10,Comfort Double,Comfort Double,2,2,0
382074,Checked out,2023-10-03 18:07:30.292,2023-10-04 07:52:10.777,1,1,Comfort Double,Comfort Double,1,1,0
382855,Checked out,2023-10-03 20:07:35.570,2023-10-04 07:00:10.118,1,1,Comfort Double,Comfort Double,1,1,0
367124,Checked out,2023-10-03 11:47:50.358,2023-10-08 09:52:41.692,5,10,Comfort Double,Comfort Double,2,2,0
369606,Checked out,2023-10-03 13:24:20.269,2023-10-04 05:45:11.573,1,1,Comfort Double,Comfort Double,1,1,0
372706,Checked out,2023-10-03 11:20:50.566,2023-10-06 10:30:22.425,3,3,Comfort Double,Comfort Double,1,1,0
378816,Checked out,2023-10-03 12:43:55.135,2023-10-04 09:34:38.062,1,1,Comfort Double,Comfort Double,1,1,0
377312,Checked out,2023-10-03 12:20:14.205,2023-10-05 09:18:20.072,2,2,Comfort Double,Comfort Double,1,1,0
353716,Checked out,2023-10-03 14:31:39.749,2023-10-07 11:00:00.000,4,4,Comfort Double,Comfort Double,1,1,0
368711,Checked out,2023-10-03 13:34:50.756,2023-10-08 07:58:22.761,5,5,Comfort Double,Comfort Double,1,1,0
377144,Checked out,2023-10-03 17:18:35.317,2023-10-05 08:40:31.204,2,2,Comfort Double,Comfort Double,1,1,0
382606,Checked out,2023-10-03 19:21:50.076,2023-10-05 08:58:36.919,2,2,Comfort Double,Comfort Double,1,1,0
378358,Checked out,2023-10-03 18:42:38.504,2023-10-05 08:04:56.199,2,4,Comfort Double,Comfort Double,2,2,0
